MARQUE_MODELE;ANNEE;CAF_XOF;COTE_EUR_IMPLICITE;PLANCHER;CATEGORIE_TAUX;TAUX_MARGINAL;DROITS_IM4_XOF_depuis_fev2025;NB_DECLARATIONS;FIABILITE_CAF_%
HYUNDAI SANTA FE;2013;4994933;7614;;A_TOURISME_13CV_PLUS;0.40208;2106963;67;43
TOYOTA AVENSIS;2000;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;67;64
TOYOTA MATRIX;2006;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;66;26
NISSAN ALMERA TINO;2004;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;63;68
HYUNDAI TUCSON;2012;3807645;5804;;A_TOURISME_13CV_PLUS;0.40208;1629578;60;48
TOYOTA COROLLA;2005;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;60;78
TOYOTA COROLLA VERSO;2004;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;60;82
TOYOTA COROLLA VERSO;2006;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;59;64
TOYOTA AVENSIS;2003;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;57;63
TOYOTA MATRIX;2010;2941778;4484;;B_TOURISME_STANDARD;0.31598;1028143;57;23
KIA SORENTO;2011;3866681;5894;;A_TOURISME_13CV_PLUS;0.40208;1653315;56;29
KIA SPORTAGE;2011;3463266;5279;;A_TOURISME_13CV_PLUS;0.40208;1491110;53;40
HYUNDAI TUCSON;2010;2804026;4274;;A_TOURISME_13CV_PLUS;0.40208;1226043;52;44
TOYOTA AVENSIS;2006;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;52;73
TOYOTA YARIS;2006;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;51;76
TOYOTA COROLLA;2004;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;48;71
TOYOTA HIGHLANDER;2002;1500001;;OUI;A_TOURISME_13CV_PLUS;0.40208;701720;48;69
TOYOTA RAV 4;2008;3400950;5184;;A_TOURISME_13CV_PLUS;0.40208;1466054;48;52
TOYOTA COROLLA;2006;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;46;41
LEXUS RX 330;2006;2364533;3604;;A_TOURISME_13CV_PLUS;0.40208;1049331;45;58
TOYOTA YARIS;2009;1823366;2779;;B_TOURISME_STANDARD;0.31598;674747;45;31
TOYOTA MATRIX;2005;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;44;80
TOYOTA RAV 4;2010;4220900;6434;;A_TOURISME_13CV_PLUS;0.40208;1795739;44;41
TOYOTA RAV 4;2013;5749287;8764;;A_TOURISME_13CV_PLUS;0.40208;2410273;44;34
HYUNDAI TUCSON;2013;4102827;6254;;A_TOURISME_13CV_PLUS;0.40208;1748265;42;55
VOLKSWAGEN PASSAT;1996;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;42;81
TOYOTA RAV 4;2005;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;40;30
LEXUS RX 350;2010;6372449;9714;;A_TOURISME_13CV_PLUS;0.40208;2660834;39;49
TOYOTA COROLLA;2009;2758109;4204;;B_TOURISME_STANDARD;0.31598;970107;39;28
TOYOTA CAMRY;2011;2764669;4214;;A_TOURISME_13CV_PLUS;0.40208;1210218;38;29
TOYOTA COROLLA VERSO;2008;1949740;2972;;B_TOURISME_STANDARD;0.31598;714679;38;34
TOYOTA HIGHLANDER;2007;3696132;5634;;A_TOURISME_13CV_PLUS;0.40208;1584741;38;47
